name,duplicate_flag
Ivory,FALSE
Vardaman,FALSE
Arther,FALSE
Maybell,FALSE
Beaulah,FALSE
Donnie,FALSE
Rosella,FALSE
Pattie,FALSE
Smithie,FALSE
Nelle,FALSE
Katharine,FALSE
Hermon,FALSE
Napoleon,FALSE
Elton,FALSE
Armand,FALSE
Catharine,FALSE
Elvera,FALSE
Madeleine,FALSE
Chris,FALSE
Carmine,FALSE
Adelina,FALSE
Jesus,FALSE
Ricardo,FALSE
Philomena,FALSE
Rae,FALSE
Margery,FALSE
Juliet,FALSE
Justina,FALSE
Dotty,FALSE
Rosemarie,FALSE
Lulu,FALSE
Paula,FALSE
Diana,FALSE
Wilhelmina,FALSE
Santa,FALSE
Alvina,FALSE
Magdalene,FALSE
Santina,FALSE
Providence,FALSE
Berta,FALSE
Hanna,FALSE
Terry,FALSE
Abe,FALSE
Sal,FALSE
Benny,FALSE
Sylvan,FALSE
Emerson,FALSE
Giovanni,FALSE
Rudolf,FALSE
Vito,FALSE
Aloysius,FALSE
Vincenzo,FALSE
Benedict,FALSE
Ned,FALSE
Durward,FALSE
Natale,FALSE
Ursula,FALSE
Malinda,FALSE
Vivien,FALSE
Mina,FALSE
Elsa,FALSE
Wilford,FALSE
Clinton,FALSE
Dean,FALSE
Lowell,FALSE
Forest,FALSE
Dominic,FALSE
Oleta,FALSE
Ima,FALSE
Audie,FALSE
Annabel,FALSE
Buford,FALSE
Dorris,FALSE
Zelda,FALSE
Louisa,FALSE
Elinore,FALSE
Twila,FALSE
Alverda,FALSE
Carmel,FALSE
Maryanna,FALSE
Roseanna,FALSE
Vernice,FALSE
Lavina,FALSE
Maryann,FALSE
Romaine,FALSE
Marcia,FALSE
Adaline,FALSE
Elena,FALSE
Sabina,FALSE
Camilla,FALSE
Stewart,FALSE
Marlin,FALSE
Lynn,FALSE
Bruno,FALSE
Ellwood,FALSE
Nello,FALSE
Alphonse,FALSE
Sigmund,FALSE
Sheldon,FALSE
Blair,FALSE
Morgan,FALSE
Corene,FALSE
Leatha,FALSE
Mabell,FALSE
Ellie,FALSE
Ruben,FALSE
Coley,FALSE
Lemuel,FALSE
Furman,FALSE
Elias,FALSE
Timothy,FALSE
Rubye,FALSE
Mai,FALSE
Hobert,FALSE
Cleta,FALSE
Betsy,FALSE
Erline,FALSE
Eulogia,FALSE
Nan,FALSE
Wilda,FALSE
Burnice,FALSE
Modena,FALSE
Floy,FALSE
Veda,FALSE
Alene,FALSE
Herlinda,FALSE
Sibyl,FALSE
Katy,FALSE
Elna,FALSE
Ottie,FALSE
Aida,FALSE
Evangelina,FALSE
Hazle,FALSE
Jaunita,FALSE
Omega,FALSE
Paralee,FALSE
Weldon,FALSE
Raul,FALSE
Cruz,FALSE
Dee,FALSE
Odis,FALSE
Ysidro,FALSE
Esteban,FALSE
Hayden,FALSE
Reynaldo,FALSE
Federico,FALSE
Pedro,FALSE
Ignacio,FALSE
Franklin,FALSE
Wilburn,FALSE
Vicente,FALSE
Alford,FALSE
Trinidad,FALSE
Vester,FALSE
Maxie,FALSE
Macie,FALSE
Waverly,FALSE
Silas,FALSE
Wiley,FALSE
Everette,FALSE
Beryl,FALSE
Glen,FALSE
Arvilla,FALSE
Bernadine,FALSE
Laurence,FALSE
Zora,FALSE
Octavia,FALSE
Versie,FALSE
Ressie,FALSE
Lera,FALSE
Talmadge,FALSE
Travis,FALSE
Ewell,FALSE
Wilton,FALSE
Wilmer,FALSE
Judge,FALSE
Alto,FALSE
Mathew,FALSE
Arizona,FALSE
Zola,FALSE
Jodie,FALSE
